SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
15964 3 1 U801 P5 gwa-t10 C1 C1 C2
15964 185 1 U801 P5 gwa-t10 C1 C1 C2
15964 1566 1 U801 P5 gwa-t10 C1 C1 C2
15964 40 1 U801 P5 gwa-t10 C1 C1 C2
15964 16 1 U801 P5 gwa-t10 C1 C1 C2
15964 256 1 U801 P5 gwa-t10 C1 C1 C2
15964 25 1 U801 P5 gwa-t10 C1 C1 C2
15964 698 1 U801 P5 gwa-t10 C1 C1 C2
15964 12 1 U801 P5 gwa-t10 C1 C1 C2
15964 91 1 U801 P5 gwa-t10 C1 C1 C2
15964 344 1 U801 P5 gwa-t10 C1 C1 C2
15964 3719 1 U801 P5 gwa-t10 C1 C1 C2
15964 5 1 U801 P5 gwa-t10 C1 C1 C2
15964 55 1 U801 P5 gwa-t10 C1 C1 C2
15964 7 1 U801 P5 gwa-t10 C1 C1 C2
15964 38 1 U801 P5 gwa-t10 C1 C1 C2
16693 53 2 U801 P5 gwa-t10 C1 C1 C2
16693 51 2 U801 P5 gwa-t10 C1 C1 C2
18586 3 3 U801 P5 gwa-t10 C1 C1 C2
18586 8 3 U801 P5 gwa-t10 C1 C1 C2
18586 4 3 U801 P5 gwa-t10 C1 C1 C2
18830 33 4 U801 P5 gwa-t10 C1 C1 C2
18830 76 4 U801 P5 gwa-t10 C1 C1 C2
21161 27 5 U801 P5 gwa-t10 C1 C1 C2
21161 19 5 U801 P5 gwa-t10 C1 C1 C2
21161 38 5 U801 P5 gwa-t10 C1 C1 C2
21161 41 5 U801 P5 gwa-t10 C1 C1 C2
21161 7 5 U801 P5 gwa-t10 C1 C1 C2
21161 8 5 U801 P5 gwa-t10 C1 C1 C2
21161 59 5 U801 P5 gwa-t10 C1 C1 C2
21161 12 5 U801 P5 gwa-t10 C1 C1 C2
21161 36 5 U801 P5 gwa-t10 C1 C1 C2
21291 127 6 U801 P5 gwa-t10 C1 C1 C2
21291 529 6 U801 P5 gwa-t10 C1 C1 C2
21291 152 6 U801 P5 gwa-t10 C1 C1 C2
21291 8 6 U801 P5 gwa-t10 C1 C1 C2
21291 22 6 U801 P5 gwa-t10 C1 C1 C2
21291 266 6 U801 P5 gwa-t10 C1 C1 C2
21291 46 6 U801 P5 gwa-t10 C1 C1 C2
29939 29 7 U801 P5 gwa-t10 C1 C1 C2
