SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
12697 111 1 U801 P5 gwa-t10 C1 C1 C2
13474 96 2 U801 P5 gwa-t10 C1 C1 C2
14194 100 3 U801 P5 gwa-t10 C1 C1 C2
57403 81 4 U801 P5 gwa-t10 C1 C1 C2
57403 46 4 U801 P5 gwa-t10 C1 C1 C2
57403 28 4 U801 P5 gwa-t10 C1 C1 C2
57403 467 4 U801 P5 gwa-t10 C1 C1 C2
59441 78 5 U801 P5 gwa-t10 C1 C1 C2
60301 5 6 U801 P5 gwa-t10 C1 C1 C2
60301 334 6 U801 P5 gwa-t10 C1 C1 C2
60840 6 7 U801 P5 gwa-t10 C1 C1 C2
60840 48 7 U801 P5 gwa-t10 C1 C1 C2
60840 35 7 U801 P5 gwa-t10 C1 C1 C2
60840 112 7 U801 P5 gwa-t10 C1 C1 C2
60840 40 7 U801 P5 gwa-t10 C1 C1 C2
60840 22 7 U801 P5 gwa-t10 C1 C1 C2
60840 15 7 U801 P5 gwa-t10 C1 C1 C2
60840 672 7 U801 P5 gwa-t10 C1 C1 C2
60840 15 7 U801 P5 gwa-t10 C1 C1 C2
60840 418 7 U801 P5 gwa-t10 C1 C1 C2
60840 4 7 U801 P5 gwa-t10 C1 C1 C2
60840 4 7 U801 P5 gwa-t10 C1 C1 C2
60840 281 7 U801 P5 gwa-t10 C1 C1 C2
60840 254 7 U801 P5 gwa-t10 C1 C1 C2
60840 172 7 U801 P5 gwa-t10 C1 C1 C2
60840 667 7 U801 P5 gwa-t10 C1 C1 C2
62277 29 8 U801 P5 gwa-t10 C1 C1 C2
69983 182 9 U801 P5 gwa-t10 C1 C1 C2
272521 6 10 U801 P5 gwa-t10 C1 C1 C2
272521 36 10 U801 P5 gwa-t10 C1 C1 C2
272521 12 10 U801 P5 gwa-t10 C1 C1 C2
272521 16 10 U801 P5 gwa-t10 C1 C1 C2
272521 484 10 U801 P5 gwa-t10 C1 C1 C2
272521 10 10 U801 P5 gwa-t10 C1 C1 C2
13330 7 1 U802 P5 gwa-t10 C3 C2 C2
13330 5 1 U802 P5 gwa-t10 C3 C2 C2
13330 14 1 U802 P5 gwa-t10 C3 C2 C2
13330 296 1 U802 P5 gwa-t10 C3 C2 C2
13330 208 1 U802 P5 gwa-t10 C3 C2 C2
13330 31 1 U802 P5 gwa-t10 C3 C2 C2
13330 14 1 U802 P5 gwa-t10 C3 C2 C2
13330 215 1 U802 P5 gwa-t10 C3 C2 C2
13330 292 1 U802 P5 gwa-t10 C3 C2 C2
16583 33 2 U802 P5 gwa-t10 C3 C2 C2
20212 26 3 U802 P5 gwa-t10 C3 C2 C2
26721 7 4 U802 P5 gwa-t10 C3 C2 C2
26721 32 4 U802 P5 gwa-t10 C3 C2 C2
43045 374 5 U802 P5 gwa-t10 C3 C2 C2
334296 17 6 U802 P5 gwa-t10 C3 C2 C2
334296 5 6 U802 P5 gwa-t10 C3 C2 C2
334296 143 6 U802 P5 gwa-t10 C3 C2 C2
460635 136 7 U802 P5 gwa-t10 C3 C2 C2
460708 73 8 U802 P5 gwa-t10 C3 C2 C2
483200 12 9 U802 P5 gwa-t10 C3 C2 C2
484379 18 10 U802 P5 gwa-t10 C3 C2 C2
550866 235 11 U802 P5 gwa-t10 C3 C2 C2
556663 48 12 U802 P5 gwa-t10 C3 C2 C2
556663 7 12 U802 P5 gwa-t10 C3 C2 C2
556663 219 12 U802 P5 gwa-t10 C3 C2 C2
599359 44 13 U802 P5 gwa-t10 C3 C2 C2
599359 40 13 U802 P5 gwa-t10 C3 C2 C2
599359 8 13 U802 P5 gwa-t10 C3 C2 C2
652892 21 14 U802 P5 gwa-t10 C3 C2 C2
665490 13 15 U802 P5 gwa-t10 C3 C2 C2
665490 95 15 U802 P5 gwa-t10 C3 C2 C2
665490 6 15 U802 P5 gwa-t10 C3 C2 C2
665490 31 15 U802 P5 gwa-t10 C3 C2 C2
665490 251 15 U802 P5 gwa-t10 C3 C2 C2
665490 64 15 U802 P5 gwa-t10 C3 C2 C2
683080 8 16 U802 P5 gwa-t10 C3 C2 C2
683080 12 16 U802 P5 gwa-t10 C3 C2 C2
689195 48 17 U802 P5 gwa-t10 C3 C2 C2
689195 15 17 U802 P5 gwa-t10 C3 C2 C2
689195 49 17 U802 P5 gwa-t10 C3 C2 C2
689195 184 17 U802 P5 gwa-t10 C3 C2 C2
689195 4 17 U802 P5 gwa-t10 C3 C2 C2
689195 17 17 U802 P5 gwa-t10 C3 C2 C2
689195 301 17 U802 P5 gwa-t10 C3 C2 C2
689195 14 17 U802 P5 gwa-t10 C3 C2 C2
689195 5 17 U802 P5 gwa-t10 C3 C2 C2
689195 7 17 U802 P5 gwa-t10 C3 C2 C2
689195 11 17 U802 P5 gwa-t10 C3 C2 C2
689195 46 17 U802 P5 gwa-t10 C3 C2 C2
689195 70 17 U802 P5 gwa-t10 C3 C2 C2
689195 575 17 U802 P5 gwa-t10 C3 C2 C2
689195 5 17 U802 P5 gwa-t10 C3 C2 C2
689195 96 17 U802 P5 gwa-t10 C3 C2 C2
689195 63 17 U802 P5 gwa-t10 C3 C2 C2
689195 70 17 U802 P5 gwa-t10 C3 C2 C2
689195 11 17 U802 P5 gwa-t10 C3 C2 C2
689195 5 17 U802 P5 gwa-t10 C3 C2 C2
689195 11 17 U802 P5 gwa-t10 C3 C2 C2
689195 8 17 U802 P5 gwa-t10 C3 C2 C2
689195 12 17 U802 P5 gwa-t10 C3 C2 C2
689195 112 17 U802 P5 gwa-t10 C3 C2 C2
689195 15 17 U802 P5 gwa-t10 C3 C2 C2
689195 18 17 U802 P5 gwa-t10 C3 C2 C2
689195 364 17 U802 P5 gwa-t10 C3 C2 C2
